Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
-155.0,305.95238095238096,10.079365079365079,10.079365079365079,-172.77777777777777,305.95238095238096,172.61904761904762,10.079365079365079,162.46031746031744,325.0,-172.77777777777777,305.95238095238096,182.77777777777777,10.079365079365079,162.46031746031744,-1.1904761904761905,314.8412698412698,325.0,325.0,-11.349206349206348,-172.61904761904762,147.2222222222222,3.571428571428571,-166.26984126984127
-155.0,305.95238095238096,10.079365079365079,10.079365079365079,-172.77777777777777,305.95238095238096,172.61904761904762,10.079365079365079,162.46031746031744,325.0,-172.77777777777777,305.95238095238096,182.77777777777777,10.079365079365079,162.46031746031744,-1.1904761904761905,314.8412698412698,325.0,325.0,-11.349206349206348,-172.61904761904762,147.2222222222222,3.571428571428571,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.507936507936508,-22.936507936507937,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.507936507936508,-22.936507936507937,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.507936507936508,-22.936507936507937,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.507936507936508,-22.936507936507937,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.19047619047619,-24.523809523809522,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-11.19047619047619,-24.523809523809522,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,34.36507936507936,-325.0,-325.0,2.46031746031746,5.634920634920634,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,34.36507936507936,-325.0,-325.0,2.46031746031746,5.634920634920634,-166.26984126984127
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,-158.33333333333331,-325.0,-325.0,-10.396825396825395,-23.730158730158728,-321.8253968253968
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,-158.33333333333331,-325.0,-325.0,-10.396825396825395,-23.730158730158728,-321.8253968253968
-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,1.8253968253968254,6.746031746031746,-321.8253968253968
