id_trial_phase,id,phase,signal_length,event_marker_length,sample_frequency,duration
1_16_1,1,1,500.0,25.0,100.0,5.0
1_16_2,1,2,500.0,25.0,100.0,5.0
1_16_3,1,3,500.0,25.0,100.0,5.0
1_16_4,1,4,500.0,25.0,100.0,5.0
1_23_1,1,1,1000.0,50.0,200.0,5.0
1_23_2,1,2,1000.0,50.0,200.0,5.0
1_23_3,1,3,1000.0,50.0,200.0,5.0
1_23_4,1,4,1000.0,50.0,200.0,5.0
1_24_1,1,1,2000.0,100.0,200.0,10.0
1_24_2,1,2,2000.0,100.0,200.0,10.0
1_24_3,1,3,2000.0,100.0,200.0,10.0
1_24_4,1,4,2000.0,100.0,200.0,10.0
1_27_1,1,1,2000.0,100.0,200.0,10.0
1_27_2,1,2,2000.0,100.0,200.0,10.0
1_27_3,1,3,2000.0,100.0,200.0,10.0
1_27_4,1,4,2000.0,100.0,200.0,10.0
10_2_1,10,1,1000.0,50.0,200.0,5.0
10_2_2,10,2,7000.0,350.0,200.0,35.0
10_2_3,10,3,1000.0,50.0,200.0,5.0
10_2_4,10,4,8000.0,400.0,200.0,40.0
10_3_1,10,1,1000.0,50.0,200.0,5.0
10_3_2,10,2,7000.0,350.0,200.0,35.0
10_3_3,10,3,1000.0,50.0,200.0,5.0
10_3_4,10,4,8000.0,400.0,200.0,40.0
11_2_1,11,1,1000.0,50.0,200.0,5.0
11_2_2,11,2,7000.0,350.0,200.0,35.0
11_2_3,11,3,1000.0,50.0,200.0,5.0
11_2_4,11,4,8000.0,400.0,200.0,40.0
11_3_1,11,1,1000.0,50.0,200.0,5.0
11_3_2,11,2,7000.0,350.0,200.0,35.0
11_3_3,11,3,1000.0,50.0,200.0,5.0
11_3_4,11,4,8000.0,400.0,200.0,40.0
12_2_1,12,1,1000.0,50.0,200.0,5.0
12_2_2,12,2,7000.0,350.0,200.0,35.0
12_2_3,12,3,1000.0,50.0,200.0,5.0
12_2_4,12,4,8000.0,400.0,200.0,40.0
12_3_1,12,1,1000.0,50.0,200.0,5.0
12_3_2,12,2,7000.0,350.0,200.0,35.0
12_3_3,12,3,1000.0,50.0,200.0,5.0
12_3_4,12,4,8000.0,400.0,200.0,40.0
13_1_1,13,1,1000.0,50.0,200.0,5.0
13_1_2,13,2,7000.0,350.0,200.0,35.0
13_1_3,13,3,1000.0,50.0,200.0,5.0
13_1_4,13,4,8000.0,400.0,200.0,40.0
13_2_1,13,1,1000.0,50.0,200.0,5.0
13_2_2,13,2,7000.0,350.0,200.0,35.0
13_2_3,13,3,1000.0,50.0,200.0,5.0
13_2_4,13,4,8000.0,400.0,200.0,40.0
14_2_1,14,1,1000.0,50.0,200.0,5.0
14_2_2,14,2,7000.0,350.0,200.0,35.0
14_2_3,14,3,1000.0,50.0,200.0,5.0
14_2_4,14,4,8000.0,400.0,200.0,40.0
14_3_1,14,1,1000.0,50.0,200.0,5.0
14_3_2,14,2,7000.0,350.0,200.0,35.0
14_3_3,14,3,1000.0,50.0,200.0,5.0
14_3_4,14,4,8000.0,400.0,200.0,40.0
15_2_1,15,1,1000.0,50.0,200.0,5.0
15_2_2,15,2,7000.0,350.0,200.0,35.0
15_2_3,15,3,1000.0,50.0,200.0,5.0
15_2_4,15,4,8000.0,400.0,200.0,40.0
15_3_1,15,1,1000.0,50.0,200.0,5.0
15_3_2,15,2,7000.0,350.0,200.0,35.0
15_3_3,15,3,1000.0,50.0,200.0,5.0
15_3_4,15,4,8000.0,400.0,200.0,40.0
16_2_1,16,1,,,,
16_2_2,16,2,,,,
16_2_3,16,3,,,,
16_2_4,16,4,,,,
16_3_1,16,1,,,,
16_3_2,16,2,,,,
16_3_3,16,3,,,,
16_3_4,16,4,,,,
17_2_1,17,1,1000.0,50.0,200.0,5.0
17_2_2,17,2,7000.0,350.0,200.0,35.0
17_2_3,17,3,1000.0,50.0,200.0,5.0
17_2_4,17,4,8000.0,400.0,200.0,40.0
17_3_1,17,1,1000.0,50.0,200.0,5.0
17_3_2,17,2,7000.0,350.0,200.0,35.0
17_3_3,17,3,1000.0,50.0,200.0,5.0
17_3_4,17,4,8000.0,400.0,200.0,40.0
18_1_1,18,1,1000.0,50.0,200.0,5.0
18_1_2,18,2,7000.0,350.0,200.0,35.0
18_1_3,18,3,1000.0,50.0,200.0,5.0
18_1_4,18,4,8000.0,400.0,200.0,40.0
18_2_1,18,1,1000.0,50.0,200.0,5.0
18_2_2,18,2,7000.0,350.0,200.0,35.0
18_2_3,18,3,1000.0,50.0,200.0,5.0
18_2_4,18,4,8000.0,400.0,200.0,40.0
19_2_1,19,1,1000.0,50.0,200.0,5.0
19_2_2,19,2,7000.0,350.0,200.0,35.0
19_2_3,19,3,1000.0,50.0,200.0,5.0
19_2_4,19,4,8000.0,400.0,200.0,40.0
19_3_1,19,1,1000.0,50.0,200.0,5.0
19_3_2,19,2,7000.0,350.0,200.0,35.0
19_3_3,19,3,1000.0,50.0,200.0,5.0
19_3_4,19,4,8000.0,400.0,200.0,40.0
2_15_1,2,1,12000.0,600.0,200.0,60.0
2_15_2,2,2,12000.0,600.0,200.0,60.0
2_15_3,2,3,12000.0,600.0,200.0,60.0
2_15_4,2,4,12000.0,600.0,200.0,60.0
2_2_1,2,1,6000.0,300.0,100.0,60.0
2_2_2,2,2,6000.0,300.0,100.0,60.0
2_2_3,2,3,3000.0,150.0,100.0,30.0
2_2_4,2,4,4000.0,200.0,100.0,40.0
2_3_1,2,1,6000.0,300.0,100.0,60.0
2_3_2,2,2,6000.0,300.0,100.0,60.0
2_3_3,2,3,3000.0,150.0,100.0,30.0
2_3_4,2,4,4000.0,200.0,100.0,40.0
20_2_1,20,1,1000.0,50.0,200.0,5.0
20_2_2,20,2,7000.0,350.0,200.0,35.0
20_2_3,20,3,1000.0,50.0,200.0,5.0
20_2_4,20,4,,,,
20_3_1,20,1,1000.0,50.0,200.0,5.0
20_3_2,20,2,7000.0,350.0,200.0,35.0
20_3_3,20,3,1000.0,50.0,200.0,5.0
20_3_4,20,4,8000.0,400.0,200.0,40.0
20_4_1,20,1,1000.0,50.0,200.0,5.0
20_4_2,20,2,7000.0,350.0,200.0,35.0
20_4_3,20,3,1000.0,50.0,200.0,5.0
20_4_4,20,4,8000.0,400.0,200.0,40.0
21_2_1,21,1,1000.0,50.0,200.0,5.0
21_2_2,21,2,7000.0,350.0,200.0,35.0
21_2_3,21,3,1000.0,50.0,200.0,5.0
21_2_4,21,4,8000.0,400.0,200.0,40.0
21_3_1,21,1,1000.0,50.0,200.0,5.0
21_3_2,21,2,7000.0,350.0,200.0,35.0
21_3_3,21,3,1000.0,50.0,200.0,5.0
21_3_4,21,4,8000.0,400.0,200.0,40.0
22_2_1,22,1,1000.0,50.0,200.0,5.0
22_2_2,22,2,7000.0,350.0,200.0,35.0
22_2_3,22,3,1000.0,50.0,200.0,5.0
22_2_4,22,4,8000.0,400.0,200.0,40.0
22_3_1,22,1,1000.0,50.0,200.0,5.0
22_3_2,22,2,7000.0,350.0,200.0,35.0
22_3_3,22,3,1000.0,50.0,200.0,5.0
22_3_4,22,4,8000.0,400.0,200.0,40.0
22_4_1,22,1,1000.0,50.0,200.0,5.0
22_4_2,22,2,7000.0,350.0,200.0,35.0
22_4_3,22,3,1000.0,50.0,200.0,5.0
22_4_4,22,4,8000.0,400.0,200.0,40.0
23_2_1,23,1,1000.0,50.0,200.0,5.0
23_2_2,23,2,,,,
23_2_3,23,3,,,,
23_2_4,23,4,,,,
23_3_1,23,1,1000.0,50.0,200.0,5.0
23_3_2,23,2,7000.0,350.0,200.0,35.0
23_3_3,23,3,1000.0,50.0,200.0,5.0
23_3_4,23,4,8000.0,400.0,200.0,40.0
23_4_1,23,1,1000.0,50.0,200.0,5.0
23_4_2,23,2,7000.0,350.0,200.0,35.0
23_4_3,23,3,1000.0,50.0,200.0,5.0
23_4_4,23,4,8000.0,400.0,200.0,40.0
24_1_1,24,1,1000.0,50.0,200.0,5.0
24_1_2,24,2,7000.0,350.0,200.0,35.0
24_1_3,24,3,1000.0,50.0,200.0,5.0
24_1_4,24,4,8000.0,400.0,200.0,40.0
24_2_1,24,1,1000.0,50.0,200.0,5.0
24_2_2,24,2,7000.0,350.0,200.0,35.0
24_2_3,24,3,1000.0,50.0,200.0,5.0
24_2_4,24,4,8000.0,400.0,200.0,40.0
25_2_1,25,1,1000.0,50.0,200.0,5.0
25_2_2,25,2,6000.0,300.0,200.0,30.0
25_2_3,25,3,1000.0,50.0,200.0,5.0
25_2_4,25,4,8000.0,400.0,200.0,40.0
25_3_1,25,1,1000.0,50.0,200.0,5.0
25_3_2,25,2,6000.0,300.0,200.0,30.0
25_3_3,25,3,1000.0,50.0,200.0,5.0
25_3_4,25,4,8000.0,400.0,200.0,40.0
26_2_1,26,1,1000.0,50.0,200.0,5.0
26_2_2,26,2,6000.0,300.0,200.0,30.0
26_2_3,26,3,1000.0,50.0,200.0,5.0
26_2_4,26,4,8000.0,400.0,200.0,40.0
26_3_1,26,1,1000.0,50.0,200.0,5.0
26_3_2,26,2,6000.0,300.0,200.0,30.0
26_3_3,26,3,1000.0,50.0,200.0,5.0
26_3_4,26,4,8000.0,400.0,200.0,40.0
27_2_1,27,1,1000.0,50.0,200.0,5.0
27_2_2,27,2,6000.0,300.0,200.0,30.0
27_2_3,27,3,1000.0,50.0,200.0,5.0
27_2_4,27,4,8000.0,400.0,200.0,40.0
27_3_1,27,1,1000.0,50.0,200.0,5.0
27_3_2,27,2,6000.0,300.0,200.0,30.0
27_3_3,27,3,1000.0,50.0,200.0,5.0
27_3_4,27,4,8000.0,400.0,200.0,40.0
28_1_1,28,1,1000.0,50.0,200.0,5.0
28_1_2,28,2,6000.0,300.0,200.0,30.0
28_1_3,28,3,1000.0,50.0,200.0,5.0
28_1_4,28,4,8000.0,400.0,200.0,40.0
28_2_1,28,1,1000.0,50.0,200.0,5.0
28_2_2,28,2,6000.0,300.0,200.0,30.0
28_2_3,28,3,1000.0,50.0,200.0,5.0
28_2_4,28,4,8000.0,400.0,200.0,40.0
28_3_1,28,1,1000.0,50.0,200.0,5.0
28_3_2,28,2,6000.0,300.0,200.0,30.0
28_3_3,28,3,1000.0,50.0,200.0,5.0
28_3_4,28,4,8000.0,400.0,200.0,40.0
29_2_1,29,1,1000.0,50.0,200.0,5.0
29_2_2,29,2,6000.0,300.0,200.0,30.0
29_2_3,29,3,1000.0,50.0,200.0,5.0
29_2_4,29,4,8000.0,400.0,200.0,40.0
29_3_1,29,1,1000.0,50.0,200.0,5.0
29_3_2,29,2,6000.0,300.0,200.0,30.0
29_3_3,29,3,1000.0,50.0,200.0,5.0
29_3_4,29,4,8000.0,400.0,200.0,40.0
3_2_1,3,1,6000.0,300.0,100.0,60.0
3_2_2,3,2,6000.0,300.0,100.0,60.0
3_2_3,3,3,3000.0,150.0,100.0,30.0
3_2_4,3,4,4000.0,200.0,100.0,40.0
3_3_1,3,1,6000.0,300.0,100.0,60.0
3_3_2,3,2,6000.0,300.0,100.0,60.0
3_3_3,3,3,3000.0,150.0,100.0,30.0
3_3_4,3,4,4000.0,200.0,100.0,40.0
30_1_1,30,1,1000.0,50.0,200.0,5.0
30_1_2,30,2,6000.0,300.0,200.0,30.0
30_1_3,30,3,1000.0,50.0,200.0,5.0
30_1_4,30,4,8000.0,400.0,200.0,40.0
30_2_1,30,1,1000.0,50.0,200.0,5.0
30_2_2,30,2,6000.0,300.0,200.0,30.0
30_2_3,30,3,1000.0,50.0,200.0,5.0
30_2_4,30,4,8000.0,400.0,200.0,40.0
31_2_1,31,1,1000.0,50.0,200.0,5.0
31_2_2,31,2,6000.0,300.0,200.0,30.0
31_2_3,31,3,1000.0,50.0,200.0,5.0
31_2_4,31,4,8000.0,400.0,200.0,40.0
31_3_1,31,1,1000.0,50.0,200.0,5.0
31_3_2,31,2,6000.0,300.0,200.0,30.0
31_3_3,31,3,1000.0,50.0,200.0,5.0
31_3_4,31,4,8000.0,400.0,200.0,40.0
31_4_1,31,1,1000.0,50.0,200.0,5.0
31_4_2,31,2,6000.0,300.0,200.0,30.0
31_4_3,31,3,1000.0,50.0,200.0,5.0
31_4_4,31,4,8000.0,400.0,200.0,40.0
32_2_1,32,1,,,,
32_2_2,32,2,,,,
32_2_3,32,3,,,,
32_2_4,32,4,,,,
32_3_1,32,1,,,,
32_3_2,32,2,,,,
32_3_3,32,3,,,,
32_3_4,32,4,,,,
32_4_1,32,1,,,,
32_4_2,32,2,,,,
32_4_3,32,3,,,,
32_4_4,32,4,,,,
4_1_1,4,1,6000.0,300.0,100.0,60.0
4_1_2,4,2,6000.0,300.0,100.0,60.0
4_1_3,4,3,3000.0,150.0,100.0,30.0
4_1_4,4,4,4000.0,200.0,100.0,40.0
4_2_1,4,1,6000.0,300.0,100.0,60.0
4_2_2,4,2,6000.0,300.0,100.0,60.0
4_2_3,4,3,3000.0,150.0,100.0,30.0
4_2_4,4,4,4000.0,200.0,100.0,40.0
4_22_1,4,1,2000.0,100.0,200.0,10.0
4_22_2,4,2,12000.0,600.0,200.0,60.0
4_22_3,4,3,,,,
4_22_4,4,4,,,,
5_3_1,5,1,,,,
5_3_2,5,2,,,,
5_3_3,5,3,,,,
5_3_4,5,4,,,,
5_4_1,5,1,,,,
5_4_2,5,2,,,,
5_4_3,5,3,,,,
5_4_4,5,4,,,,
6_1_1,6,1,2000.0,100.0,200.0,10.0
6_1_2,6,2,12000.0,600.0,200.0,60.0
6_1_3,6,3,2000.0,100.0,200.0,10.0
6_1_4,6,4,,,,
6_3_1,6,1,1000.0,50.0,200.0,5.0
6_3_2,6,2,6000.0,300.0,200.0,30.0
6_3_3,6,3,1000.0,50.0,200.0,5.0
6_3_4,6,4,6000.0,300.0,200.0,30.0
7_2_1,7,1,1000.0,50.0,200.0,5.0
7_2_2,7,2,6000.0,300.0,200.0,30.0
7_2_3,7,3,1000.0,50.0,200.0,5.0
7_2_4,7,4,6000.0,300.0,200.0,30.0
7_3_1,7,1,1000.0,50.0,200.0,5.0
7_3_2,7,2,6000.0,300.0,200.0,30.0
7_3_3,7,3,1000.0,50.0,200.0,5.0
7_3_4,7,4,6000.0,300.0,200.0,30.0
8_2_1,8,1,,,,
8_2_2,8,2,,,,
8_2_3,8,3,,,,
8_2_4,8,4,,,,
8_3_1,8,1,,,,
8_3_2,8,2,,,,
8_3_3,8,3,,,,
8_3_4,8,4,,,,
9_2_1,9,1,,,,
9_2_2,9,2,,,,
9_2_3,9,3,,,,
9_2_4,9,4,,,,
9_3_1,9,1,,,,
9_3_2,9,2,,,,
9_3_3,9,3,,,,
9_3_4,9,4,,,,
