onset,description
0.0,1000Hz
0.2,1000Hz
0.4,1000Hz
0.6,1000Hz
0.8,1000Hz
1.0,3000Hz
1.2, 
1.4,1000Hz
1.6,1000Hz
1.8,1000Hz
2.0,3000Hz
2.2, 
2.4,1000Hz
2.6,1000Hz
2.8,1000Hz
3.0,1000Hz
3.2,3000Hz
3.4, 
3.6,3000Hz
3.8, 
4.0,3000Hz
4.2,1000Hz
4.4,3000Hz
4.6, 
4.8,1000Hz
5.0,1000Hz
5.2,1000Hz
5.4,1000Hz
5.6,1000Hz
5.8,3000Hz
6.0, 
6.2,1000Hz
6.4,1000Hz
6.6,1000Hz
6.8,3000Hz
7.0,3000Hz
7.2,1000Hz
7.4,3000Hz
7.6, 
7.8,1000Hz
8.0,1000Hz
8.2,1000Hz
8.4,1000Hz
8.6,1000Hz
8.8,1000Hz
9.0,1000Hz
9.2,1000Hz
9.4,1000Hz
9.6,1000Hz
9.8,1000Hz
10.0,1000Hz
10.2,1000Hz
10.4,1000Hz
10.6,1000Hz
10.8,1000Hz
11.0,1000Hz
11.2,3000Hz
11.4, 
11.6,1000Hz
11.8,1000Hz
12.0,1000Hz
12.2,1000Hz
12.4,1000Hz
12.6,1000Hz
12.8,1000Hz
13.0,1000Hz
13.2,1000Hz
13.4,3000Hz
13.6, 
13.8,1000Hz
14.0,3000Hz
14.2,1000Hz
14.4,1000Hz
14.6,1000Hz
14.8,1000Hz
15.0,1000Hz
15.2,3000Hz
15.4, 
15.6,1000Hz
15.8,1000Hz
16.0,1000Hz
16.2,3000Hz
16.4, 
16.6,3000Hz
16.8,3000Hz
17.0, 
17.2,3000Hz
17.4, 
17.6,1000Hz
17.8,3000Hz
18.0, 
18.2,3000Hz
18.4,1000Hz
18.6,1000Hz
18.8,1000Hz
19.0,1000Hz
19.2,1000Hz
19.4,3000Hz
19.6, 
19.8,1000Hz
20.0,1000Hz
20.2,1000Hz
20.4,1000Hz
20.6,1000Hz
20.8,1000Hz
21.0,1000Hz
21.2,1000Hz
21.4,3000Hz
21.6, 
21.8,1000Hz
22.0,3000Hz
22.2,1000Hz
22.4,1000Hz
22.6,1000Hz
22.8,1000Hz
23.0,1000Hz
23.2,1000Hz
23.4,1000Hz
23.6,1000Hz
23.8,1000Hz
24.0,1000Hz
24.2,1000Hz
24.4,3000Hz
24.6,1000Hz
24.8,3000Hz
25.0, 
25.2,1000Hz
25.4,1000Hz
25.6,1000Hz
25.8,1000Hz
26.0,1000Hz
26.2,3000Hz
26.4,3000Hz
26.6, 
26.8,1000Hz
27.0,1000Hz
27.2,1000Hz
27.4,1000Hz
27.6,1000Hz
27.8,1000Hz
28.0,1000Hz
28.2,3000Hz
28.4,1000Hz
28.6,1000Hz
28.8,1000Hz
29.0,3000Hz
29.2,1000Hz
29.4,3000Hz
29.6,1000Hz
29.8,1000Hz
30.0,3000Hz
30.2,3000Hz
30.4, 
30.6,3000Hz
30.8, 
31.0,1000Hz
31.2,1000Hz
31.4,1000Hz
31.6,1000Hz
31.8,1000Hz
32.0,1000Hz
32.2,1000Hz
32.4,1000Hz
32.6,1000Hz
32.8,3000Hz
33.0, 
33.2,1000Hz
33.4,1000Hz
33.6,1000Hz
33.8,1000Hz
34.0,1000Hz
34.2,1000Hz
34.4,1000Hz
34.6,1000Hz
34.8,3000Hz
35.0,1000Hz
35.2,1000Hz
35.4,3000Hz
35.6, 
35.8,1000Hz
36.0,1000Hz
36.2,1000Hz
36.4,1000Hz
36.6,1000Hz
36.8,1000Hz
37.0,1000Hz
37.2,3000Hz
37.4, 
37.6,1000Hz
37.8,1000Hz
38.0,1000Hz
38.2,3000Hz
38.4,1000Hz
38.6,1000Hz
38.8,1000Hz
39.0,3000Hz
39.2,1000Hz
39.4,1000Hz
39.6,3000Hz
39.8,1000Hz
